product_id,category_id,unit_of_measure,unit_cost_rwf,selling_price_rwf,product_status,reorder_point_units,lead_time_buffer_days,movement_type,quantity_ordered_units,quantity_fulfilled_units,remaining_stock_units,order_id,customer_id,region,lost_sale_qty_units,po_id,supplier_id,transaction_date,landed_cost_rwf
HUB-CYP-443,Pesticides,Bottle (1L/500ml),39647,51552,sold,991,8,Sale,31,31,2607,94cfa12f,AGRO-DEALER-158,Musanze,0,PO-INTL-15311,Bakhresa Group,1/1/2025 11:00,51541
HUB-NPK-799,Fertilizers,Bag (50kg),25990,32695,sold,1475,34,Sale,68,68,4106,89c9ec52,AGRO-DEALER-15,Nyagatare,0,PO-INTL-77435,Agrotech,1/1/2025 21:00,33787
HUB-KNA-487,Equipment,Unit (Piece),6858,8928,sold,1100,24,Sale,48,48,1418,581b5c74,AGRO-DEALER-60,Musanze,0,PO-INTL-53001,ETG Rwanda,1/2/2025 6:00,8915
HUB-HYB-305,Seeds,Packet (2kg-5kg),32369,40786,sold,580,41,Sale,17,17,2277,40c1d6f1,AGRO-DEALER-164,Musanze,0,PO-INTL-79479,Bakhresa Group,1/2/2025 8:00,42080
HUB-CLI-655,Seeds,Packet (2kg-5kg),13318,17206,sold,661,32,Sale,27,27,2103,9fb0c01f,AGRO-DEALER-190,Huye,0,PO-INTL-42606,Bakhresa Group,1/2/2025 14:00,17313
HUB-DIT-316,Pesticides,Bottle (1L/500ml),25833,35915,available,1263,30,Purchase,0,0,5470,b782ced4,AGRO-DEALER-188,Huye,0,PO-INTL-48044,Agrotech,1/2/2025 21:00,33583
HUB-NPK-598,Fertilizers,Bag (50kg),44475,59733,sold,1092,17,Sale,97,97,4009,4ddf4e6f,AGRO-DEALER-136,Nyagatare,0,PO-INTL-71858,ETG Rwanda,1/3/2025 6:00,57818
HUB-ROC-132,Pesticides,Bottle (1L/500ml),19339,22800,available,547,40,Purchase,0,0,6051,cf9538d2,AGRO-DEALER-151,Rubavu,0,PO-INTL-94651,Bakhresa Group,1/3/2025 16:00,25141
HUB-SOY-317,Seeds,Packet (2kg-5kg),23889,28187,sold,1002,11,Sale,10,10,2085,8dd9ee7f,AGRO-DEALER-142,Nyagatare,0,PO-INTL-10206,Agrotech,1/3/2025 19:00,31056
HUB-CLI-584,Seeds,Packet (2kg-5kg),6257,8191,sold,906,36,Sale,13,13,2090,64760185,AGRO-DEALER-143,Nyagatare,0,PO-INTL-43827,ETG Rwanda,1/3/2025 22:00,8134
HUB-PIC-895,Equipment,Unit (Piece),32791,44928,sold,527,12,Sale,71,71,3098,abd981d9,AGRO-DEALER-108,Huye,0,PO-INTL-35939,Yalla Yalla Ltd,1/4/2025 9:00,42628
HUB-SOY-732,Seeds,Packet (2kg-5kg),9884,12247,available,1127,33,Purchase,0,0,3985,b76879d5,AGRO-DEALER-3,Nyagatare,0,PO-INTL-13748,ETG Rwanda,1/4/2025 19:00,12849
HUB-DIT-609,Pesticides,Bottle (1L/500ml),42716,52575,sold,1306,18,Sale,61,61,5409,3a9d773f,AGRO-DEALER-130,Nyagatare,0,PO-INTL-33664,ETG Rwanda,1/5/2025 3:00,55531
HUB-NPK-737,Fertilizers,Bag (50kg),29383,37483,sold,629,25,Sale,10,10,3999,69c4bd77,AGRO-DEALER-53,Huye,0,PO-INTL-36309,Bakhresa Group,1/5/2025 14:00,38198
HUB-CYP-297,Pesticides,Bottle (1L/500ml),19786,23952,available,1481,40,Purchase,0,0,3990,70c28e2f,AGRO-DEALER-139,Gasabo,0,PO-INTL-52107,Agrotech,1/6/2025 1:00,25722
HUB-HYB-247,Seeds,Packet (2kg-5kg),28636,37782,sold,1363,25,Sale,76,76,2201,ee056d8f,AGRO-DEALER-199,Huye,0,PO-INTL-18680,ETG Rwanda,1/6/2025 4:00,37227
HUB-KNA-514,Equipment,Unit (Piece),42469,50299,sold,1489,29,Sale,98,98,1320,9cf8ff67,AGRO-DEALER-42,Nyagatare,0,PO-INTL-26646,Bakhresa Group,1/6/2025 11:00,55210
HUB-KNA-259,Equipment,Unit (Piece),25665,31188,available,508,43,Adjustment,0,0,1319,d23c8172,AGRO-DEALER-99,Nyagatare,0,PO-INTL-25151,Bakhresa Group,1/6/2025 20:00,33364
HUB-DIT-353,Pesticides,Bottle (1L/500ml),40511,55206,available,726,26,Purchase,0,0,7354,8629d5c9,AGRO-DEALER-112,Gasabo,0,PO-INTL-92018,ETG Rwanda,1/7/2025 4:00,52664
HUB-URE-497,Fertilizers,Bag (50kg),24425,30827,available,776,39,Adjustment,0,0,4503,78678528,AGRO-DEALER-48,Huye,0,PO-INTL-68871,Bakhresa Group,1/7/2025 6:00,31752
HUB-PIC-849,Equipment,Unit (Piece),31305,40448,sold,1169,28,Sale,95,95,3003,66d299bb,AGRO-DEALER-38,Rubavu,0,PO-INTL-84290,Yalla Yalla Ltd,1/7/2025 9:00,40696
HUB-PIC-552,Equipment,Unit (Piece),36792,46934,sold,1328,39,Sale,73,73,2930,a35e97dc,AGRO-DEALER-48,Nyagatare,0,PO-INTL-66835,Agrotech,1/7/2025 20:00,47830
HUB-PIC-991,Equipment,Unit (Piece),44782,56761,sold,1244,41,Sale,15,15,2915,cdab859c,AGRO-DEALER-37,Rubavu,0,PO-INTL-10301,ETG Rwanda,1/7/2025 21:00,58217
HUB-CYP-227,Pesticides,Bottle (1L/500ml),8014,9829,sold,517,9,Sale,42,42,3948,454ed3c5,AGRO-DEALER-25,Musanze,0,PO-INTL-33093,Yalla Yalla Ltd,1/7/2025 22:00,10418
HUB-DIT-884,Pesticides,Bottle (1L/500ml),13357,17602,sold,603,8,Sale,36,36,7318,cf1a1587,AGRO-DEALER-161,Gasabo,0,PO-INTL-88069,Bakhresa Group,1/8/2025 6:00,17364
HUB-ROC-924,Pesticides,Bottle (1L/500ml),37374,50549,available,535,13,Purchase,0,0,7378,981ed0a5,AGRO-DEALER-173,Huye,0,PO-INTL-12368,Bakhresa Group,1/8/2025 16:00,48586
HUB-KNA-150,Equipment,Unit (Piece),18520,23037,sold,1164,28,Sale,96,96,1223,3853c8ca,AGRO-DEALER-186,Rubavu,0,PO-INTL-32677,Yalla Yalla Ltd,1/8/2025 19:00,24076
HUB-CLI-363,Seeds,Packet (2kg-5kg),6494,8804,sold,552,43,Sale,69,69,2021,1c1efc38,AGRO-DEALER-60,Huye,0,PO-INTL-58747,ETG Rwanda,1/8/2025 20:00,8442
HUB-DIT-469,Pesticides,Bottle (1L/500ml),21454,28424,sold,1135,19,Sale,25,25,7293,82936795,AGRO-DEALER-106,Nyagatare,0,PO-INTL-96672,Bakhresa Group,1/9/2025 0:00,27890
HUB-CYP-740,Pesticides,Bottle (1L/500ml),8138,9410,available,557,15,Adjustment,0,0,3945,c161fe7c,AGRO-DEALER-122,Gasabo,0,PO-INTL-56175,Yalla Yalla Ltd,1/9/2025 10:00,10579
HUB-HYB-889,Seeds,Packet (2kg-5kg),42385,55506,sold,1360,11,Sale,73,73,2128,31b63479,AGRO-DEALER-195,Huye,0,PO-INTL-77215,Agrotech,1/9/2025 18:00,55100
HUB-URE-303,Fertilizers,Bag (50kg),18675,21905,sold,1411,11,Sale,71,71,4432,52e79505,AGRO-DEALER-176,Rubavu,0,PO-INTL-72752,Yalla Yalla Ltd,1/10/2025 3:00,24278
HUB-HYB-861,Seeds,Packet (2kg-5kg),6922,9603,available,1158,16,Purchase,0,0,3874,6f240788,AGRO-DEALER-186,Gasabo,0,PO-INTL-51975,ETG Rwanda,1/10/2025 10:00,8999
HUB-DAP-479,Fertilizers,Bag (50kg),6060,7856,available,1044,41,Purchase,0,0,3049,b7398e08,AGRO-DEALER-161,Rubavu,0,PO-INTL-48304,Bakhresa Group,1/10/2025 12:00,7878
HUB-SOY-704,Seeds,Packet (2kg-5kg),6559,8557,sold,1421,14,Sale,99,99,3886,3117d26d,AGRO-DEALER-90,Musanze,0,PO-INTL-67458,ETG Rwanda,1/10/2025 14:00,8527
HUB-DIT-860,Pesticides,Bottle (1L/500ml),18933,26206,sold,1175,27,Sale,98,98,7195,0f71eb51,AGRO-DEALER-138,Rubavu,0,PO-INTL-28888,Bakhresa Group,1/10/2025 19:00,24613
HUB-PIC-289,Equipment,Unit (Piece),34266,40500,sold,1235,29,Sale,33,33,2882,c12386c1,AGRO-DEALER-37,Huye,0,PO-INTL-46208,Agrotech,1/10/2025 20:00,44546
HUB-DAP-441,Fertilizers,Bag (50kg),14529,18080,sold,896,31,Sale,93,93,2956,9f70af13,AGRO-DEALER-187,Nyagatare,0,PO-INTL-57280,Bakhresa Group,1/11/2025 5:00,18888
HUB-PIC-984,Equipment,Unit (Piece),38886,48169,available,568,22,Adjustment,0,0,2879,f239a801,AGRO-DEALER-99,Huye,0,PO-INTL-99112,Bakhresa Group,1/11/2025 14:00,50552
HUB-ROC-322,Pesticides,Bottle (1L/500ml),42848,57644,sold,1133,20,Sale,62,62,7316,b9aeb910,AGRO-DEALER-133,Nyagatare,0,PO-INTL-48102,ETG Rwanda,1/11/2025 18:00,55702
HUB-CYP-618,Pesticides,Bottle (1L/500ml),43746,57833,available,673,44,Purchase,0,0,5721,cb2f935c,AGRO-DEALER-141,Musanze,0,PO-INTL-72856,Yalla Yalla Ltd,1/11/2025 20:00,56870
HUB-DIT-610,Pesticides,Bottle (1L/500ml),8254,9667,available,826,23,Adjustment,0,0,7193,9c0d9a6a,AGRO-DEALER-45,Huye,0,PO-INTL-45909,Bakhresa Group,1/11/2025 22:00,10730
HUB-CYP-853,Pesticides,Bottle (1L/500ml),33203,40248,sold,719,19,Sale,76,76,5645,41ca0c75,AGRO-DEALER-126,Musanze,0,PO-INTL-40355,Bakhresa Group,1/12/2025 4:00,43164
HUB-PIC-923,Equipment,Unit (Piece),34768,45903,sold,1428,31,Sale,72,72,2807,352b7644,AGRO-DEALER-166,Rubavu,0,PO-INTL-77641,Bakhresa Group,1/12/2025 13:00,45198
HUB-NPK-631,Fertilizers,Bag (50kg),6736,9303,available,940,25,Purchase,0,0,5749,d68b5c4d,AGRO-DEALER-146,Gasabo,0,PO-INTL-62528,Yalla Yalla Ltd,1/12/2025 18:00,8757
HUB-CYP-429,Pesticides,Bottle (1L/500ml),30102,39015,available,1235,18,Purchase,0,0,7115,9ff93bf3,AGRO-DEALER-16,Huye,0,PO-INTL-33959,Bakhresa Group,1/12/2025 19:00,39133
HUB-URE-803,Fertilizers,Bag (50kg),23548,29160,sold,1422,42,Sale,50,50,4382,ad8a38af,AGRO-DEALER-191,Gasabo,0,PO-INTL-48088,ETG Rwanda,1/12/2025 23:00,30612
HUB-NPK-549,Fertilizers,Bag (50kg),37901,52586,sold,509,31,Sale,56,56,5693,61eda5c1,AGRO-DEALER-56,Musanze,0,PO-INTL-66570,ETG Rwanda,1/13/2025 2:00,49271
HUB-DAP-381,Fertilizers,Bag (50kg),20059,27133,available,562,27,Adjustment,0,0,2953,64797665,AGRO-DEALER-86,Nyagatare,0,PO-INTL-82474,ETG Rwanda,1/13/2025 10:00,26077
HUB-NPK-575,Fertilizers,Bag (50kg),6473,7661,sold,1476,12,Sale,64,64,5629,541942ad,AGRO-DEALER-197,Rubavu,0,PO-INTL-90642,ETG Rwanda,1/13/2025 12:00,8415
HUB-ROC-977,Pesticides,Bottle (1L/500ml),42791,58299,sold,500,15,Sale,87,87,7229,2e82516d,AGRO-DEALER-51,Rubavu,0,PO-INTL-27100,Bakhresa Group,1/13/2025 17:00,55628
HUB-HYB-349,Seeds,Packet (2kg-5kg),35280,40986,sold,1173,32,Sale,48,48,3826,4f1b46f4,AGRO-DEALER-182,Nyagatare,0,PO-INTL-42049,Bakhresa Group,1/13/2025 18:00,45864
HUB-URE-306,Fertilizers,Bag (50kg),8536,11506,sold,728,29,Sale,56,56,4326,9512842f,AGRO-DEALER-85,Musanze,0,PO-INTL-63682,Agrotech,1/13/2025 23:00,11097
HUB-CLI-407,Seeds,Packet (2kg-5kg),29324,38390,sold,748,40,Sale,60,60,1961,db76c9f5,AGRO-DEALER-166,Gasabo,0,PO-INTL-52318,Bakhresa Group,1/14/2025 5:00,38121
HUB-SOY-429,Seeds,Packet (2kg-5kg),39495,54795,sold,1284,23,Sale,65,65,3821,d1166a4e,AGRO-DEALER-84,Rubavu,0,PO-INTL-83477,ETG Rwanda,1/14/2025 15:00,51344
HUB-HYB-194,Seeds,Packet (2kg-5kg),28186,34821,sold,1470,22,Sale,32,32,3794,232d8497,AGRO-DEALER-118,Huye,0,PO-INTL-51240,Agrotech,1/15/2025 2:00,36642
HUB-PIC-104,Equipment,Unit (Piece),31702,37823,sold,965,27,Sale,28,28,2779,7bb67683,AGRO-DEALER-92,Musanze,0,PO-INTL-46668,Yalla Yalla Ltd,1/15/2025 13:00,41213
HUB-URE-912,Fertilizers,Bag (50kg),26377,32681,available,1422,32,Purchase,0,0,5927,49d57e10,AGRO-DEALER-73,Musanze,0,PO-INTL-20488,Agrotech,1/15/2025 14:00,34290
HUB-URE-356,Fertilizers,Bag (50kg),39943,55130,sold,507,42,Sale,35,35,5892,f99adc42,AGRO-DEALER-113,Nyagatare,0,PO-INTL-60428,Bakhresa Group,1/15/2025 22:00,51926
HUB-CYP-464,Pesticides,Bottle (1L/500ml),24381,31807,sold,1165,8,Sale,97,97,7018,a74d01d8,AGRO-DEALER-14,Nyagatare,0,PO-INTL-15126,Agrotech,1/16/2025 6:00,31695
HUB-CYP-730,Pesticides,Bottle (1L/500ml),26285,30932,sold,984,31,Sale,24,24,6994,ee88a846,AGRO-DEALER-28,Musanze,0,PO-INTL-11062,ETG Rwanda,1/16/2025 17:00,34170
